Group,Name,Type,Description
"Belief, decision-making and behavioral",Additive bias,,"The tendency to solve problems through addition, even when subtraction is a better approach."
"Belief, decision-making and behavioral",Agent detection,False priors,The inclination to presume the purposeful intervention of a sentient or intelligent agent.
"Belief, decision-making and behavioral",Ambiguity effect,Prospect theory,The tendency to avoid options for which the probability of a favorable outcome is unknown.
"Belief, decision-making and behavioral",Anchoring or focalism,Anchoring bias,"The tendency to rely too heavily, or ""anchor"", on one trait or piece of information when making decisions (usually the first piece of information acquired on that subject)."
"Belief, decision-making and behavioral",Anthropocentric thinking,Availability bias,"The tendency to use human analogies as a basis for reasoning about other, less familiar, biological phenomena."
"Belief, decision-making and behavioral",Anthropomorphism or,Availability bias,"The tendency to characterize animals, objects, and abstract concepts as possessing human-like traits, emotions, and intentions. The opposite bias, of not attributing feelings or thoughts to another person, is dehumanised perception, a type of objectification."
"Belief, decision-making and behavioral",personification,,
"Belief, decision-making and behavioral",Attentional bias,Availability bias,The tendency of perception to be affected by recurring thoughts.
"Belief, decision-making and behavioral",Attribute substitution,,"Occurs when a judgment has to be made (of a target attribute) that is computationally complex, and instead a more easily calculated heuristic attribute is substituted. This substitution is thought of as taking place in the automatic intuitive judgment system, rather than the more self-aware reflective system."
"Belief, decision-making and behavioral",Automation bias,False priors,The tendency to depend excessively on automated systems which can lead to erroneous automated information overriding correct decisions.
"Belief, decision-making and behavioral",Availability heuristic,Availability bias,"The tendency to overestimate the likelihood of events with greater ""availability"" in memory, which can be influenced by how recent the memories are or how unusual or emotionally charged they may be."
"Belief, decision-making and behavioral",Backfire effect,Confirmation bias,The reaction to disconfirming evidence by strengthening one's previous beliefs.[22] Note: the existence of this bias as a widespread phenomenon has been disputed in empirical studies.
"Belief, decision-making and behavioral",Base rate fallacy or,Extension neglect,"The tendency to ignore general information and focus on information only pertaining to the specific case, even when the general information is more important."
"Belief, decision-making and behavioral",Base rate neglect,,
"Belief, decision-making and behavioral",Belief bias,Truthiness,An effect where someone's evaluation of the logical strength of an argument is biased by the believability of the conclusion.
"Belief, decision-making and behavioral",Berkson's paradox,Logical fallacy,The tendency to misinterpret statistical experiments involving conditional probabilities.
"Belief, decision-making and behavioral",Clustering illusion,Apophenia,"The tendency to overestimate the importance of small runs, streaks, or clusters in large samples of random data (that is, seeing phantom patterns)."
"Belief, decision-making and behavioral",Common source bias,Anchoring bias,"Common Source Bias (CSB) refers to the tendency to combine or compare research studies from the same source, or from sources that use the same methodologies or data."
"Belief, decision-making and behavioral",Compassion fade,Extension neglect,The predisposition to behave more compassionately towards a small number of identifiable victims than to a large number of anonymous ones.
"Belief, decision-making and behavioral",Confirmation bias,Confirmation bias,"The tendency to search for, interpret, focus on and remember information in a way that confirms one's preconceptions."
"Belief, decision-making and behavioral",Congruence bias,Confirmation bias,"The tendency to test hypotheses exclusively through direct testing, instead of testing possible alternative hypotheses."
"Belief, decision-making and behavioral",Conjunction fallacy,Extension neglect,The tendency to assume that specific conditions are more probable than a more general version of those same conditions.
"Belief, decision-making and behavioral",Conservatism bias,Anchoring bias,The tendency to revise one's belief insufficiently when presented with new evidence.
"Belief, decision-making and behavioral",(belief revision),,
"Belief, decision-making and behavioral",Continued influence effect,Confirmation bias,The tendency to believe previously learned misinformation even after it has been corrected. Misinformation can still influence inferences one generates after a correction has occurred. cf. Backfire effect
"Belief, decision-making and behavioral",Contrast effect,Framing effect,"The enhancement or reduction of a certain stimulus' perception when compared with a recently observed, contrasting object."
"Belief, decision-making and behavioral",Curse of knowledge,,When better-informed people find it extremely difficult to think about problems from the perspective of lesser-informed people.
"Belief, decision-making and behavioral",Declinism,,The predisposition to view the past favorably (rosy retrospection) and future negatively.
"Belief, decision-making and behavioral",Decoy effect,Framing effect,"Preferences for either option A or B change in favor of option B when option C is presented, which is completely dominated by option B (inferior in all respects) and partially dominated by option A."
"Belief, decision-making and behavioral",Default effect,Framing effect,"When given a choice between several options, the tendency to favor the default one."
"Belief, decision-making and behavioral",Denomination effect,Framing effect,"The tendency to spend more money when it is denominated in small amounts (e.g., coins) rather than large amounts (e.g., bills)."
"Belief, decision-making and behavioral",Disposition effect,Prospect theory,The tendency to sell an asset that has accumulated in value and resist selling an asset that has declined in value.
"Belief, decision-making and behavioral",Distinction bias,Framing effect,The tendency to view two options as more dissimilar when evaluating them simultaneously than when evaluating them separately.
"Belief, decision-making and behavioral",Dread aversion,Prospect theory,"Just as losses yield double the emotional impact of gains, dread yields double the emotional impact of savouring."
"Belief, decision-making and behavioral",Dunning–Kruger effect,,The tendency for unskilled individuals to overestimate their own ability and the tendency for experts to underestimate their own ability.
"Belief, decision-making and behavioral",Duration neglect,Extension neglect,The neglect of the duration of an episode in determining its value.
"Belief, decision-making and behavioral",Empathy gap,,"The tendency to underestimate the influence or strength of feelings, in either oneself or others."
"Belief, decision-making and behavioral",End-of-history illusion,,The age-independent belief that one will change less in the future than one has in the past.
"Belief, decision-making and behavioral",Endowment effect,Prospect theory,The tendency for people to demand much more to give up an object than they would be willing to pay to acquire it.
"Belief, decision-making and behavioral",Exaggerated expectation,,The tendency to expect or predict more extreme outcomes than those outcomes that actually happen.
"Belief, decision-making and behavioral",Experimenter's or,Confirmation bias,"The tendency for experimenters to believe, certify, and publish data that agree with their expectations for the outcome of an experiment, and to disbelieve, discard, or downgrade the corresponding weightings for data that appear to conflict with those expectations."
"Belief, decision-making and behavioral",expectation bias,,
"Belief, decision-making and behavioral",Forer effect or,Egocentric bias,"The observation that individuals will give high accuracy ratings to descriptions of their personality that supposedly are tailored specifically for them, but are in fact vague and general enough to apply to a wide range of people. This effect can provide a partial explanation for the widespread acceptance of some beliefs and practices, such as astrology, fortune telling, graphology, and some types of personality tests.[47]"
"Belief, decision-making and behavioral",Barnum effect,,
"Belief, decision-making and behavioral",Form function attribution bias,,"In human–robot interaction, the tendency of people to make systematic errors when interacting with a robot. People may base their expectations and perceptions of a robot on its appearance (form) and attribute functions which do not necessarily mirror the true functions of the robot."
"Belief, decision-making and behavioral",Framing effect,Framing effect,"Drawing different conclusions from the same information, depending on how that information is presented."
"Belief, decision-making and behavioral",Frequency illusion or,Availability bias,"The frequency illusion is that once something has been noticed then every instance of that thing is noticed, leading to the belief it has a high frequency of occurrence (a form of selection bias). The Baader–Meinhof phenomenon is the illusion where something that has recently come to one's attention suddenly seems to appear with improbable frequency shortly afterwards. It was named after an incidence of frequency illusion in which the Baader–Meinhof Group was mentioned."
"Belief, decision-making and behavioral",Baader–Meinhof phenomenon,,
"Belief, decision-making and behavioral",Functional fixedness,Anchoring bias,Limits a person to using an object only in the way it is traditionally used.
"Belief, decision-making and behavioral",Gambler's fallacy,Logical fallacy,"The tendency to think that future probabilities are altered by past events, when in reality they are unchanged. The fallacy arises from an erroneous conceptualization of the law of large numbers. For example, ""I've flipped heads with this coin five times consecutively, so the chance of tails coming out on the sixth flip is much greater than heads.""[54]"
"Belief, decision-making and behavioral",Gender bias,False priors,"A widely held[55] set of implicit biases that discriminate against a gender. For example, the assumption that women are less suited to jobs requiring high intellectual ability. Or the assumption that people or animals are male in the absence of any indicators of gender."
"Belief, decision-making and behavioral",Hard–easy effect,,"The tendency to overestimate one's ability to accomplish hard tasks, and underestimate one's ability to accomplish easy tasks"
"Belief, decision-making and behavioral",Hindsight bias,,"Sometimes called the ""I-knew-it-all-along"" effect, the tendency to see past events as being predictable at the time those events happened."
"Belief, decision-making and behavioral",Hot-hand fallacy,Logical fallacy,"The ""hot-hand fallacy"" (also known as the ""hot hand phenomenon"" or ""hot hand"") is the belief that a person who has experienced success with a random event has a greater chance of further success in additional attempts."
"Belief, decision-making and behavioral",Hungry judge effect,,Judicial decision making and mood may be affected by physiological factors such as what the judge had for breakfast
"Belief, decision-making and behavioral",Hyperbolic discounting,Extension neglect,"Discounting is the tendency for people to have a stronger preference for more immediate payoffs relative to later payoffs. Hyperbolic discounting leads to choices that are inconsistent over time – people make choices today that their future selves would prefer not to have made, despite using the same reasoning. Also known as current moment bias, present-bias, and related to Dynamic inconsistency. A good example of this: a study showed that when making food choices for the coming week, 74% of participants chose fruit, whereas when the food choice was for the current day, 70% chose chocolate."
"Belief, decision-making and behavioral",IKEA effect,Effort justification,"The tendency for people to place a disproportionately high value on objects that they partially assembled themselves, such as furniture from IKEA, regardless of the quality of the end product."
"Belief, decision-making and behavioral",Illicit transference,Logical fallacy,Occurs when a term in the distributive (referring to every member of a class) and collective (referring to the class itself as a whole) sense are treated as equivalent. The two variants of this fallacy are the fallacy of composition and the fallacy of division.
"Belief, decision-making and behavioral",Illusion of control,Egocentric bias,The tendency to overestimate one's degree of influence over other external events.
"Belief, decision-making and behavioral",Illusion of validity,Egocentric bias,"Overestimating the accuracy of one's judgments, especially when available information is consistent or inter-correlated."
"Belief, decision-making and behavioral",Illusory correlation,Apophenia,Inaccurately perceiving a relationship between two unrelated events.
"Belief, decision-making and behavioral",Illusory truth effect,Truthiness,"A tendency to believe that a statement is true if it is easier to process, or if it has been stated multiple times, regardless of its actual veracity. These are specific cases of truthiness."
"Belief, decision-making and behavioral",Impact bias,,The tendency to overestimate the length or the intensity of the impact of future feeling states.
"Belief, decision-making and behavioral",Implicit association,Availability bias,The speed with which people can match words depends on how closely they are associated.
"Belief, decision-making and behavioral",Information bias,,The tendency to seek information even when it cannot affect action.
"Belief, decision-making and behavioral",Insensitivity to sample size,Extension neglect,The tendency to under-expect variation in small samples.
"Belief, decision-making and behavioral",Interoceptive bias,,"The tendency for sensory input about the body itself to affect one's judgement about external, unrelated circumstances. (As for example, in parole judges who are more lenient when fed and rested.)"
"Belief, decision-making and behavioral",Irrational escalation or,Logical fallacy,"The phenomenon where people justify increased investment in a decision, based on the cumulative prior investment, despite new evidence suggesting that the decision was probably wrong. Also known as the sunk cost fallacy."
"Belief, decision-making and behavioral",Escalation of commitment,,
"Belief, decision-making and behavioral",Law of the instrument,Anchoring bias,"An over-reliance on a familiar tool or methods, ignoring or under-valuing alternative approaches. ""If all you have is a hammer, everything looks like a nail."""
"Belief, decision-making and behavioral",Less-is-better effect,Extension neglect,"The tendency to prefer a smaller set to a larger set judged separately, but not jointly."
"Belief, decision-making and behavioral",Loss aversion,Prospect theory,The perceived disutility of giving up an object is greater than the utility associated with acquiring it.
"Belief, decision-making and behavioral",Mere exposure effect,Familiarity principle,The tendency to express undue liking for things merely because of familiarity with them.
"Belief, decision-making and behavioral",Money illusion,,The tendency to concentrate on the nominal value (face value) of money rather than its value in terms of purchasing power.
"Belief, decision-making and behavioral",Moral credential effect,,Occurs when someone who does something good gives themselves permission to be less good in the future.
"Belief, decision-making and behavioral",Neglect of probability,Extension neglect,The tendency to completely disregard probability when making a decision under uncertainty.
"Belief, decision-making and behavioral",Non-adaptive choice switching,,"After experiencing a bad outcome with a decision problem, the tendency to avoid the choice previously made when faced with the same decision problem again, even though the choice was optimal. Also known as ""once bitten, twice shy"" or ""hot stove effect""."
"Belief, decision-making and behavioral",Normalcy bias,Cognitive dissonance,"The refusal to plan for, or react to, a disaster which has never happened before."
"Belief, decision-making and behavioral",Observer-expectancy effect,Confirmation bias,When a researcher expects a given result and therefore unconsciously manipulates an experiment or misinterprets data in order to find it (see also subject-expectancy effect).
"Belief, decision-making and behavioral",Omission bias,,"The tendency to judge harmful actions (commissions) as worse, or less moral, than equally harmful inactions (omissions)."
"Belief, decision-making and behavioral",Optimism bias,,"The tendency to be over-optimistic, underestimating greatly the probability of undesirable outcomes and overestimating favorable and pleasing outcomes (see also wishful thinking, valence effect, positive outcome bias)."
"Belief, decision-making and behavioral",Ostrich effect,,Ignoring an obvious (negative) situation.
"Belief, decision-making and behavioral",Outcome bias,,The tendency to judge a decision by its eventual outcome instead of based on the quality of the decision at the time it was made.
